,ward,precinct,tot_votes,eman_votes,garcia_votes,eman_pct,garcia_pct
83,2,40,252,211,41,0.8373015873015873,0.1626984126984127
84,2,41,210,181,29,0.861904761904762,0.1380952380952381
85,2,42,279,210,69,0.7526881720430108,0.24731182795698925
86,2,43,355,301,54,0.847887323943662,0.15211267605633802
87,2,44,232,190,42,0.8189655172413793,0.1810344827586207
88,2,45,342,238,104,0.695906432748538,0.30409356725146197
89,2,46,187,155,32,0.8288770053475936,0.1711229946524064
90,3,1,345,198,147,0.5739130434782609,0.4260869565217391
91,3,2,448,307,141,0.6852678571428571,0.31473214285714285
92,3,3,343,241,102,0.7026239067055393,0.29737609329446063
93,3,4,351,177,174,0.5042735042735043,0.49572649572649574
94,3,5,223,147,76,0.6591928251121076,0.34080717488789236
95,3,6,346,261,85,0.7543352601156069,0.24566473988439305
96,3,7,279,155,124,0.5555555555555556,0.4444444444444444
97,3,8,229,134,95,0.5851528384279476,0.4148471615720524
98,3,9,304,175,129,0.5756578947368421,0.4243421052631579
99,3,10,158,94,64,0.5949367088607594,0.4050632911392405
100,3,11,304,171,133,0.5625,0.4375
101,3,12,365,211,154,0.5780821917808219,0.42191780821917807
102,3,13,369,277,92,0.7506775067750677,0.24932249322493225
103,3,14,260,183,77,0.7038461538461539,0.29615384615384616
104,3,15,283,156,127,0.5512367491166078,0.44876325088339225
105,3,16,291,179,112,0.6151202749140894,0.3848797250859107
106,3,17,309,204,105,0.6601941747572816,0.33980582524271846
107,3,18,432,264,168,0.6111111111111112,0.3888888888888889
108,3,19,337,253,84,0.7507418397626113,0.24925816023738873
109,3,20,318,182,136,0.5723270440251572,0.4276729559748428
110,3,21,402,293,109,0.7288557213930348,0.27114427860696516
111,3,22,296,204,92,0.6891891891891891,0.3108108108108108
112,3,23,291,177,114,0.6082474226804123,0.3917525773195876
113,3,24,291,188,103,0.6460481099656358,0.3539518900343643
114,3,25,458,372,86,0.8122270742358079,0.18777292576419213
115,3,26,450,358,92,0.7955555555555556,0.20444444444444446
116,3,27,313,222,91,0.7092651757188498,0.29073482428115016
117,3,28,267,194,73,0.7265917602996255,0.27340823970037453
118,3,29,312,200,112,0.6410256410256411,0.358974358974359
119,3,30,324,193,131,0.595679012345679,0.404320987654321
120,3,31,361,237,124,0.6565096952908587,0.34349030470914127
121,3,32,344,265,79,0.7703488372093024,0.22965116279069767
122,3,33,256,190,66,0.7421875,0.2578125
123,3,34,360,256,104,0.7111111111111111,0.28888888888888886
124,3,35,163,85,78,0.5214723926380368,0.4785276073619632
125,3,36,174,100,74,0.5747126436781609,0.42528735632183906
126,3,37,254,148,106,0.5826771653543307,0.41732283464566927
127,3,38,350,249,101,0.7114285714285714,0.2885714285714286
128,3,39,302,250,52,0.8278145695364238,0.17218543046357615
129,3,40,367,225,142,0.6130790190735694,0.3869209809264305
130,3,41,290,182,108,0.6275862068965518,0.3724137931034483
131,4,1,399,138,261,0.3458646616541353,0.6541353383458647
132,4,2,376,295,81,0.7845744680851063,0.2154255319148936
133,4,3,305,172,133,0.5639344262295082,0.4360655737704918
134,4,4,412,227,185,0.5509708737864077,0.44902912621359226
135,4,5,342,178,164,0.52046783625731,0.47953216374269003
136,4,6,488,307,181,0.6290983606557377,0.3709016393442623
137,4,7,410,234,176,0.5707317073170731,0.4292682926829268
138,4,8,416,221,195,0.53125,0.46875
139,4,9,485,251,234,0.5175257731958763,0.4824742268041237
140,4,10,398,225,173,0.5653266331658291,0.43467336683417085
141,4,11,340,221,119,0.65,0.35
142,4,12,351,193,158,0.5498575498575499,0.45014245014245013
143,4,13,192,130,62,0.6770833333333334,0.3229166666666667
144,4,14,353,199,154,0.5637393767705382,0.43626062322946174
145,4,15,400,240,160,0.6,0.4
146,4,16,347,254,93,0.7319884726224783,0.2680115273775216
147,4,17,341,235,106,0.6891495601173021,0.31085043988269795
148,4,18,362,221,141,0.6104972375690608,0.38950276243093923
149,4,19,312,180,132,0.5769230769230769,0.4230769230769231
150,4,20,346,242,104,0.6994219653179191,0.30057803468208094
151,4,21,304,195,109,0.6414473684210527,0.35855263157894735
152,4,22,403,237,166,0.5880893300248139,0.4119106699751861
153,4,23,461,238,223,0.5162689804772235,0.4837310195227766
154,4,24,337,205,132,0.6083086053412463,0.3916913946587537
155,4,25,340,253,87,0.7441176470588236,0.25588235294117645
156,4,26,377,227,150,0.6021220159151194,0.3978779840848806
157,4,27,355,137,218,0.38591549295774646,0.6140845070422535
158,4,28,356,214,142,0.601123595505618,0.398876404494382
159,4,29,269,141,128,0.5241635687732342,0.4758364312267658
160,4,30,386,230,156,0.5958549222797928,0.40414507772020725
161,4,31,457,287,170,0.6280087527352297,0.37199124726477023
162,4,32,331,185,146,0.5589123867069486,0.44108761329305135
163,4,33,393,207,186,0.5267175572519084,0.4732824427480916
164,4,34,280,154,126,0.55,0.45
165,4,35,457,273,184,0.5973741794310722,0.4026258205689278
166,4,36,395,223,172,0.5645569620253165,0.43544303797468353
167,4,37,324,233,91,0.7191358024691358,0.2808641975308642
168,4,38,397,242,155,0.6095717884130982,0.3904282115869018
169,5,1,271,166,105,0.6125461254612546,0.3874538745387454
170,5,2,259,133,126,0.5135135135135135,0.4864864864864865
171,5,3,343,130,213,0.37900874635568516,0.6209912536443148
172,5,4,316,163,153,0.5158227848101266,0.48417721518987344
173,5,5,328,173,155,0.5274390243902439,0.4725609756097561
174,5,6,268,139,129,0.5186567164179104,0.48134328358208955
175,5,7,309,194,115,0.627831715210356,0.37216828478964403
176,5,8,369,202,167,0.5474254742547425,0.45257452574525747
177,5,9,398,233,165,0.585427135678392,0.41457286432160806
178,5,10,261,143,118,0.5478927203065134,0.4521072796934866
179,5,11,379,181,198,0.47757255936675463,0.5224274406332454
180,5,12,227,134,93,0.5903083700440529,0.40969162995594716
181,5,13,270,153,117,0.5666666666666667,0.43333333333333335
182,5,14,316,186,130,0.5886075949367089,0.41139240506329117
183,5,15,323,171,152,0.5294117647058824,0.47058823529411764
184,5,16,314,191,123,0.60828025477707,0.39171974522292996
185,5,17,256,163,93,0.63671875,0.36328125
186,5,18,299,154,145,0.5150501672240803,0.48494983277591974
187,5,19,374,157,217,0.4197860962566845,0.5802139037433155
188,5,20,387,209,178,0.5400516795865633,0.4599483204134367
189,5,21,307,138,169,0.4495114006514658,0.5504885993485342
190,5,22,439,311,128,0.7084282460136674,0.29157175398633256
191,5,23,493,275,218,0.5578093306288032,0.4421906693711968
192,5,24,322,143,179,0.4440993788819876,0.5559006211180124
193,5,25,339,184,155,0.5427728613569321,0.45722713864306785
194,5,26,311,178,133,0.572347266881029,0.42765273311897106
195,5,27,292,153,139,0.523972602739726,0.476027397260274
196,5,28,386,226,160,0.5854922279792746,0.41450777202072536
197,5,29,376,179,197,0.47606382978723405,0.523936170212766
198,5,30,230,117,113,0.508695652173913,0.49130434782608695
199,5,31,229,121,108,0.5283842794759825,0.47161572052401746
200,5,32,410,234,176,0.5707317073170731,0.4292682926829268
201,5,33,355,214,141,0.6028169014084507,0.3971830985915493
202,5,34,404,245,159,0.6064356435643564,0.3935643564356436
203,5,35,365,196,169,0.536986301369863,0.46301369863013697
204,5,36,246,145,101,0.5894308943089431,0.4105691056910569
205,5,37,387,233,154,0.6020671834625323,0.3979328165374677
206,5,38,281,162,119,0.5765124555160143,0.4234875444839858
207,5,39,307,173,134,0.5635179153094463,0.4364820846905538
208,5,40,303,171,132,0.5643564356435643,0.43564356435643564
209,5,41,227,149,78,0.6563876651982379,0.3436123348017621
