,GEO_ID,tot_vap,white_alone_vap,any_part_black_vap,any_part_aian_vap,any_part_asian_vap,any_part_nhpi_vap,hispanic_latino_vap,not_hispanic_latino_vap,white_latino_vap,poc_latino_vap,any_part_poc_vap,multiracial_vap,total_housing_units,total_occupied_housing,total_vacant_housing,tot_pop,poc_aian_vap,any_part_black_latino_vap
151,1000000US170310103003002,181,71,86,1,9,4,22,159,0,22,110,17,128,113,15,222,0,5
152,1000000US170310103003003,126,45,50,2,15,0,20,106,0,20,81,5,85,74,11,170,1,5
153,1000000US170310103003004,46,26,14,1,4,1,1,45,0,1,20,2,32,32,0,53,1,0
154,1000000US170310103003005,198,91,79,1,10,13,9,189,0,9,107,4,1,1,0,198,0,1
155,1000000US170310103003006,37,22,9,0,3,0,3,34,0,3,15,2,31,26,5,39,0,0
156,1000000US170310103003007,206,44,75,3,56,2,38,168,0,38,162,11,116,108,8,253,1,4
157,1000000US170310103004000,64,45,2,1,5,0,12,52,0,12,19,2,41,37,4,84,0,0
158,1000000US170310103004001,149,97,23,1,6,2,21,128,0,21,52,6,111,100,11,181,0,0
159,1000000US170310103004002,29,18,2,1,0,0,8,21,0,8,11,0,24,20,4,29,1,0
160,1000000US170310103004003,23,9,7,0,0,0,10,13,0,10,14,3,12,11,1,32,0,3
161,1000000US170310103004004,166,13,45,0,0,0,108,58,0,108,153,0,92,79,13,220,0,0
162,1000000US170310103004005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1000000US170310103004006,52,36,6,0,4,1,7,45,0,7,16,2,32,29,3,65,0,2
164,1000000US170310103004007,195,57,53,2,49,1,35,160,0,35,138,4,114,102,12,272,2,0
165,1000000US170310103004008,38,16,16,0,1,0,6,32,0,6,22,1,24,24,0,45,0,1
166,1000000US170310103004009,14,4,10,0,0,0,0,14,0,0,10,1,11,10,1,14,0,0
167,1000000US170310103004010,85,45,14,0,2,0,24,61,0,24,40,3,62,52,10,108,0,0
168,1000000US170310103004011,87,50,23,0,6,1,8,79,0,8,37,1,66,60,6,109,0,0
169,1000000US170310103004012,73,32,17,0,17,0,7,66,0,7,41,2,44,36,8,85,0,0
170,1000000US170310103004013,61,12,17,0,0,0,33,28,0,33,49,1,23,23,0,88,0,1
171,1000000US170310103004014,118,61,49,0,3,1,5,113,0,5,57,2,96,82,14,128,0,2
172,1000000US170310104001000,113,70,29,0,12,0,3,110,0,3,43,1,82,74,8,136,0,1
173,1000000US170310104001001,116,44,28,2,38,0,9,107,0,9,72,5,66,60,6,140,2,1
174,1000000US170310104001002,386,134,143,8,63,0,46,340,0,46,252,25,304,277,27,444,6,2
175,1000000US170310104001003,281,225,19,2,14,0,24,257,0,24,56,2,194,173,21,304,2,0
176,1000000US170310104001004,217,141,42,2,13,0,27,190,0,27,76,8,169,145,24,251,1,4
177,1000000US170310104001005,4,4,0,0,0,0,0,4,0,0,0,0,3,3,0,4,0,0
178,1000000US170310104001006,160,106,37,3,8,0,6,154,0,6,54,6,107,99,8,186,1,1
179,1000000US170310104002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1000000US170310104002001,118,72,29,5,8,0,10,108,0,10,46,5,82,73,9,142,3,2
181,1000000US170310104002002,110,89,5,0,8,0,9,101,0,9,21,5,86,78,8,120,0,1
182,1000000US170310104002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1000000US170310104002004,178,103,35,3,21,5,14,164,0,14,75,6,118,111,7,202,1,1
184,1000000US170310104002005,119,73,22,4,9,1,9,110,0,9,46,6,73,65,8,136,3,0
185,1000000US170310104002006,99,41,38,1,10,0,12,87,0,12,58,3,66,65,1,124,1,2
186,1000000US170310104002007,97,65,10,5,10,0,11,86,0,11,32,7,53,50,3,109,1,0
187,1000000US170310104003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1000000US170310104003001,5,5,0,0,0,0,0,5,0,0,0,0,3,3,0,5,0,0
189,1000000US170310104003002,28,26,0,0,2,0,0,28,0,0,2,0,14,14,0,52,0,0
190,1000000US170310104003003,267,192,19,2,26,0,32,235,0,32,75,9,66,65,1,268,1,2
191,1000000US170310104003004,190,164,14,2,6,0,6,184,0,6,26,4,139,125,14,200,2,1
192,1000000US170310104003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1000000US170310104003006,803,595,39,3,109,2,65,738,0,65,208,28,117,111,6,812,1,4
194,1000000US170310104003007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1000000US170310104003008,165,108,7,0,20,0,31,134,0,31,57,5,0,0,0,165,0,1
196,1000000US170310104003009,180,36,55,0,69,0,21,159,0,21,144,11,126,113,13,218,0,1
197,1000000US170310104003010,119,60,25,0,18,0,17,102,0,17,59,5,82,76,6,128,0,1
198,1000000US170310104003011,284,168,64,13,19,0,37,247,0,37,116,20,210,182,28,304,5,8
199,1000000US170310104003012,17,17,0,0,0,0,0,17,0,0,0,0,7,7,0,20,0,0
200,1000000US170310104003013,28,22,4,0,1,0,1,27,0,1,6,0,18,14,4,28,0,0
201,1000000US170310104003014,539,377,42,6,87,0,39,500,0,39,162,20,126,115,11,544,3,4
202,1000000US170310104003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1000000US170310105011000,132,75,39,3,10,0,8,124,0,8,57,7,95,81,14,161,1,2
204,1000000US170310105011001,219,122,54,4,28,0,13,206,0,13,97,16,147,135,12,249,0,1
205,1000000US170310105011002,157,76,49,3,7,0,24,133,0,24,81,6,170,118,52,172,1,3
206,1000000US170310105011003,257,144,73,6,18,0,23,234,0,23,113,11,186,168,18,289,3,3
207,1000000US170310105012000,161,63,39,1,45,0,11,150,0,11,98,7,123,103,20,178,1,0
208,1000000US170310105012001,129,58,39,2,16,1,16,113,0,16,71,5,89,81,8,145,1,3
209,1000000US170310105012002,148,21,99,1,6,0,24,124,0,24,127,4,105,95,10,182,1,4
210,1000000US170310105012003,85,43,26,0,7,0,8,77,0,8,42,1,74,63,11,91,0,0
211,1000000US170310105012004,176,95,38,2,13,1,32,144,0,32,81,5,125,121,4,200,2,1
212,1000000US170310105012005,449,105,207,8,88,2,45,404,0,45,344,9,264,251,13,608,6,5
213,1000000US170310105012006,173,52,100,1,13,0,9,164,0,9,121,5,128,116,12,206,0,1
214,1000000US170310105012007,192,115,24,4,21,0,30,162,0,30,77,4,148,122,26,218,2,0
215,1000000US170310105012008,64,43,15,0,5,0,3,61,0,3,21,2,35,33,2,69,0,0
216,1000000US170310105013000,220,74,94,4,7,0,43,177,0,43,146,7,200,155,45,260,0,2
217,1000000US170310105013001,94,44,34,3,1,1,12,82,0,12,50,5,63,57,6,119,2,0
